sample,temperature,residence_time,pressure,heat_rate,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,devol_yield,Category
refuse_derived_48,1000,2.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,64.99194847,plastic
refuse_derived_49,1000,2.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,78.08683853,plastic
refuse_derived_51,600,5.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,38.20924893,plastic
refuse_derived_52,600,5.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,43.48225214,plastic
refuse_derived_53,600,5.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,64.49250087,plastic
refuse_derived_54,800,5.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,78.94026325,plastic
refuse_derived_55,800,5.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,78.74622863,plastic
refuse_derived_62,600,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,70.19472362,plastic
refuse_derived_63,600,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,77.18901454,plastic
refuse_derived_64,600,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,76.25294316,plastic
refuse_derived_65,800,5.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,77.04318937,plastic
refuse_derived_68,400,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,48.0,plastic
refuse_derived_69,400,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,14.22092647,plastic
refuse_derived_71,400,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,19.1682911,plastic
refuse_derived_72,400,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,15.02890173,plastic
refuse_derived_74,800,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,78.99242674,plastic
refuse_derived_75,800,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,79.8245614,plastic
refuse_derived_76,800,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,78.30431979,plastic
refuse_derived_77,1000,5.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,80.04477135,plastic
refuse_derived_80,1000,5.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,81.73270651,plastic
refuse_derived_82,1000,5.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,80.68965517,plastic
refuse_derived_83,1000,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,82.75630252,plastic
refuse_derived_85,1000,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,80.21978022,plastic
refuse_derived_86,1000,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,78.43623953,plastic
refuse_derived_93,800,10.0,5.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,75.37638006,plastic
refuse_derived_94,800,10.0,5.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,76.58569501,plastic
refuse_derived_95,800,10.0,5.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,77.09656925,plastic
refuse_derived_101,1170,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,76.92307692,plastic
refuse_derived_103,1170,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,76.41638225,plastic
refuse_derived_104,1170,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,73.87211944,plastic
refuse_derived_105,800,10.0,10.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,76.83423913,plastic
refuse_derived_106,800,10.0,10.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,75.30120482,plastic
refuse_derived_108,800,10.0,10.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,76.69871795,plastic
refuse_derived_109,800,10.0,20.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,76.19525242,plastic
refuse_derived_110,800,10.0,20.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,76.10469069,plastic
refuse_derived_111,800,10.0,20.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,76.83960665,plastic
refuse_derived_114,1180,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,77.79599869,plastic
refuse_derived_117,600,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,25.63249001,plastic
refuse_derived_119,1000,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,79.85468956,plastic
refuse_derived_121,800,0.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,42.26873734,plastic
refuse_derived_122,1000,0.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,67.91898073,plastic
refuse_derived_125,1000,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,76.61050545,plastic
refuse_derived_127,800,2.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,73.63150868,plastic
refuse_derived_128,1000,2.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,76.14346825,plastic
refuse_derived_129,600,5.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,73.30663997,plastic
refuse_derived_131,600,0.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,36.39143731,plastic
refuse_derived_132,600,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,61.14586763,plastic
refuse_derived_133,600,2.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,58.50550964,plastic
refuse_derived_134,800,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,43.71941272,plastic
refuse_derived_135,600,0.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,21.55756208,plastic
refuse_derived_137,600,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,59.4457587,plastic
refuse_derived_138,600,2.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,63.2405892,plastic
refuse_derived_139,600,5.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,60.14271152,plastic
refuse_derived_141,1000,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,74.01753816,plastic
refuse_derived_143,1000,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,78.90493786,plastic
refuse_derived_144,600,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,60.37351443,plastic
refuse_derived_145,600,15.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,68.57518921,plastic
refuse_derived_146,600,15.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,75.59912854,plastic
refuse_derived_147,600,15.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,73.78826531,plastic
refuse_derived_148,600,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,37.5712848,plastic
refuse_derived_150,800,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,69.05785124,plastic
refuse_derived_151,500,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,41.8798151,plastic
refuse_derived_152,500,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,44.91525424,plastic
refuse_derived_154,500,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,61.93162961,plastic
refuse_derived_155,500,10.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,49.50787402,plastic
refuse_derived_172,600,1.5,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,39.6411093,plastic
refuse_derived_173,600,1.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,34.17762103,plastic
refuse_derived_175,600,2.0,1.0,1000,2.7,82.1,7.0,8.2,68.7,8.9,9.8,1.0,0.8,,1.5,0.1,32.177,66.01976006,plastic
